query,start,end,day_count
from:IvanDuque,2017-05-20T00:00:00.000Z,2017-05-21T00:00:00.000Z,7
from:IvanDuque,2017-05-21T00:00:00.000Z,2017-05-22T00:00:00.000Z,1
from:IvanDuque,2017-05-22T00:00:00.000Z,2017-05-23T00:00:00.000Z,8
from:IvanDuque,2017-05-23T00:00:00.000Z,2017-05-24T00:00:00.000Z,14
from:IvanDuque,2017-05-24T00:00:00.000Z,2017-05-25T00:00:00.000Z,8
from:IvanDuque,2017-05-25T00:00:00.000Z,2017-05-26T00:00:00.000Z,16
from:IvanDuque,2017-05-26T00:00:00.000Z,2017-05-27T00:00:00.000Z,20
from:IvanDuque,2017-05-27T00:00:00.000Z,2017-05-28T00:00:00.000Z,5
from:IvanDuque,2017-05-28T00:00:00.000Z,2017-05-29T00:00:00.000Z,27
from:IvanDuque,2017-05-29T00:00:00.000Z,2017-05-30T00:00:00.000Z,6
from:IvanDuque,2017-05-30T00:00:00.000Z,2017-05-31T00:00:00.000Z,12
from:IvanDuque,2017-05-31T00:00:00.000Z,2017-06-01T00:00:00.000Z,16
from:IvanDuque,2017-06-01T00:00:00.000Z,2017-06-02T00:00:00.000Z,3
from:IvanDuque,2017-06-02T00:00:00.000Z,2017-06-03T00:00:00.000Z,19
from:petrogustavo,2017-05-20T00:00:00.000Z,2017-05-21T00:00:00.000Z,13
from:petrogustavo,2017-05-21T00:00:00.000Z,2017-05-22T00:00:00.000Z,9
from:petrogustavo,2017-05-22T00:00:00.000Z,2017-05-23T00:00:00.000Z,27
from:petrogustavo,2017-05-23T00:00:00.000Z,2017-05-24T00:00:00.000Z,12
from:petrogustavo,2017-05-24T00:00:00.000Z,2017-05-25T00:00:00.000Z,22
from:petrogustavo,2017-05-25T00:00:00.000Z,2017-05-26T00:00:00.000Z,35
from:petrogustavo,2017-05-26T00:00:00.000Z,2017-05-27T00:00:00.000Z,19
from:petrogustavo,2017-05-27T00:00:00.000Z,2017-05-28T00:00:00.000Z,19
from:petrogustavo,2017-05-28T00:00:00.000Z,2017-05-29T00:00:00.000Z,6
from:petrogustavo,2017-05-29T00:00:00.000Z,2017-05-30T00:00:00.000Z,18
from:petrogustavo,2017-05-30T00:00:00.000Z,2017-05-31T00:00:00.000Z,13
from:petrogustavo,2017-05-31T00:00:00.000Z,2017-06-01T00:00:00.000Z,15
from:petrogustavo,2017-06-01T00:00:00.000Z,2017-06-02T00:00:00.000Z,19
from:petrogustavo,2017-06-02T00:00:00.000Z,2017-06-03T00:00:00.000Z,20
from:ClaudiaLopez,2017-05-20T00:00:00.000Z,2017-05-21T00:00:00.000Z,12
from:ClaudiaLopez,2017-05-21T00:00:00.000Z,2017-05-22T00:00:00.000Z,11
from:ClaudiaLopez,2017-05-22T00:00:00.000Z,2017-05-23T00:00:00.000Z,32
from:ClaudiaLopez,2017-05-23T00:00:00.000Z,2017-05-24T00:00:00.000Z,8
from:ClaudiaLopez,2017-05-24T00:00:00.000Z,2017-05-25T00:00:00.000Z,35
from:ClaudiaLopez,2017-05-25T00:00:00.000Z,2017-05-26T00:00:00.000Z,33
from:ClaudiaLopez,2017-05-26T00:00:00.000Z,2017-05-27T00:00:00.000Z,33
from:ClaudiaLopez,2017-05-27T00:00:00.000Z,2017-05-28T00:00:00.000Z,16
from:ClaudiaLopez,2017-05-28T00:00:00.000Z,2017-05-29T00:00:00.000Z,16
from:ClaudiaLopez,2017-05-29T00:00:00.000Z,2017-05-30T00:00:00.000Z,13
from:ClaudiaLopez,2017-05-30T00:00:00.000Z,2017-05-31T00:00:00.000Z,28
from:ClaudiaLopez,2017-05-31T00:00:00.000Z,2017-06-01T00:00:00.000Z,27
from:ClaudiaLopez,2017-06-01T00:00:00.000Z,2017-06-02T00:00:00.000Z,13
from:ClaudiaLopez,2017-06-02T00:00:00.000Z,2017-06-03T00:00:00.000Z,12
from:JuanManSantos,2017-05-20T00:00:00.000Z,2017-05-21T00:00:00.000Z,2
from:JuanManSantos,2017-05-21T00:00:00.000Z,2017-05-22T00:00:00.000Z,4
from:JuanManSantos,2017-05-22T00:00:00.000Z,2017-05-23T00:00:00.000Z,10
from:JuanManSantos,2017-05-23T00:00:00.000Z,2017-05-24T00:00:00.000Z,3
from:JuanManSantos,2017-05-24T00:00:00.000Z,2017-05-25T00:00:00.000Z,5
from:JuanManSantos,2017-05-25T00:00:00.000Z,2017-05-26T00:00:00.000Z,4
from:JuanManSantos,2017-05-26T00:00:00.000Z,2017-05-27T00:00:00.000Z,24
from:JuanManSantos,2017-05-27T00:00:00.000Z,2017-05-28T00:00:00.000Z,2
from:JuanManSantos,2017-05-28T00:00:00.000Z,2017-05-29T00:00:00.000Z,2
from:JuanManSantos,2017-05-29T00:00:00.000Z,2017-05-30T00:00:00.000Z,1
from:JuanManSantos,2017-05-30T00:00:00.000Z,2017-05-31T00:00:00.000Z,9
from:JuanManSantos,2017-05-31T00:00:00.000Z,2017-06-01T00:00:00.000Z,13
from:JuanManSantos,2017-06-01T00:00:00.000Z,2017-06-02T00:00:00.000Z,9
from:JuanManSantos,2017-06-02T00:00:00.000Z,2017-06-03T00:00:00.000Z,8
from:AlvaroUribeVel,2017-05-20T00:00:00.000Z,2017-05-21T00:00:00.000Z,44
from:AlvaroUribeVel,2017-05-21T00:00:00.000Z,2017-05-22T00:00:00.000Z,20
from:AlvaroUribeVel,2017-05-22T00:00:00.000Z,2017-05-23T00:00:00.000Z,61
from:AlvaroUribeVel,2017-05-23T00:00:00.000Z,2017-05-24T00:00:00.000Z,48
from:AlvaroUribeVel,2017-05-24T00:00:00.000Z,2017-05-25T00:00:00.000Z,32
from:AlvaroUribeVel,2017-05-25T00:00:00.000Z,2017-05-26T00:00:00.000Z,30
from:AlvaroUribeVel,2017-05-26T00:00:00.000Z,2017-05-27T00:00:00.000Z,41
from:AlvaroUribeVel,2017-05-27T00:00:00.000Z,2017-05-28T00:00:00.000Z,13
from:AlvaroUribeVel,2017-05-28T00:00:00.000Z,2017-05-29T00:00:00.000Z,23
from:AlvaroUribeVel,2017-05-29T00:00:00.000Z,2017-05-30T00:00:00.000Z,31
from:AlvaroUribeVel,2017-05-30T00:00:00.000Z,2017-05-31T00:00:00.000Z,41
from:AlvaroUribeVel,2017-05-31T00:00:00.000Z,2017-06-01T00:00:00.000Z,30
from:AlvaroUribeVel,2017-06-01T00:00:00.000Z,2017-06-02T00:00:00.000Z,26
from:AlvaroUribeVel,2017-06-02T00:00:00.000Z,2017-06-03T00:00:00.000Z,34
from:AntanasMockus,2017-05-20T00:00:00.000Z,2017-05-21T00:00:00.000Z,0
from:AntanasMockus,2017-05-21T00:00:00.000Z,2017-05-22T00:00:00.000Z,0
from:AntanasMockus,2017-05-22T00:00:00.000Z,2017-05-23T00:00:00.000Z,0
from:AntanasMockus,2017-05-23T00:00:00.000Z,2017-05-24T00:00:00.000Z,3
from:AntanasMockus,2017-05-24T00:00:00.000Z,2017-05-25T00:00:00.000Z,1
from:AntanasMockus,2017-05-25T00:00:00.000Z,2017-05-26T00:00:00.000Z,0
from:AntanasMockus,2017-05-26T00:00:00.000Z,2017-05-27T00:00:00.000Z,0
from:AntanasMockus,2017-05-27T00:00:00.000Z,2017-05-28T00:00:00.000Z,0
from:AntanasMockus,2017-05-28T00:00:00.000Z,2017-05-29T00:00:00.000Z,0
from:AntanasMockus,2017-05-29T00:00:00.000Z,2017-05-30T00:00:00.000Z,0
from:AntanasMockus,2017-05-30T00:00:00.000Z,2017-05-31T00:00:00.000Z,0
from:AntanasMockus,2017-05-31T00:00:00.000Z,2017-06-01T00:00:00.000Z,0
from:AntanasMockus,2017-06-01T00:00:00.000Z,2017-06-02T00:00:00.000Z,1
from:AntanasMockus,2017-06-02T00:00:00.000Z,2017-06-03T00:00:00.000Z,0
from:EnriquePenalosa,2017-05-20T00:00:00.000Z,2017-05-21T00:00:00.000Z,6
from:EnriquePenalosa,2017-05-21T00:00:00.000Z,2017-05-22T00:00:00.000Z,8
from:EnriquePenalosa,2017-05-22T00:00:00.000Z,2017-05-23T00:00:00.000Z,19
from:EnriquePenalosa,2017-05-23T00:00:00.000Z,2017-05-24T00:00:00.000Z,4
from:EnriquePenalosa,2017-05-24T00:00:00.000Z,2017-05-25T00:00:00.000Z,4
from:EnriquePenalosa,2017-05-25T00:00:00.000Z,2017-05-26T00:00:00.000Z,25
from:EnriquePenalosa,2017-05-26T00:00:00.000Z,2017-05-27T00:00:00.000Z,9
from:EnriquePenalosa,2017-05-27T00:00:00.000Z,2017-05-28T00:00:00.000Z,4
from:EnriquePenalosa,2017-05-28T00:00:00.000Z,2017-05-29T00:00:00.000Z,12
from:EnriquePenalosa,2017-05-29T00:00:00.000Z,2017-05-30T00:00:00.000Z,5
from:EnriquePenalosa,2017-05-30T00:00:00.000Z,2017-05-31T00:00:00.000Z,1
from:EnriquePenalosa,2017-05-31T00:00:00.000Z,2017-06-01T00:00:00.000Z,9
from:EnriquePenalosa,2017-06-01T00:00:00.000Z,2017-06-02T00:00:00.000Z,5
from:EnriquePenalosa,2017-06-02T00:00:00.000Z,2017-06-03T00:00:00.000Z,6
from:sergio_fajardo,2017-05-20T00:00:00.000Z,2017-05-21T00:00:00.000Z,4
from:sergio_fajardo,2017-05-21T00:00:00.000Z,2017-05-22T00:00:00.000Z,1
from:sergio_fajardo,2017-05-22T00:00:00.000Z,2017-05-23T00:00:00.000Z,3
from:sergio_fajardo,2017-05-23T00:00:00.000Z,2017-05-24T00:00:00.000Z,5
from:sergio_fajardo,2017-05-24T00:00:00.000Z,2017-05-25T00:00:00.000Z,4
from:sergio_fajardo,2017-05-25T00:00:00.000Z,2017-05-26T00:00:00.000Z,1
from:sergio_fajardo,2017-05-26T00:00:00.000Z,2017-05-27T00:00:00.000Z,2
from:sergio_fajardo,2017-05-27T00:00:00.000Z,2017-05-28T00:00:00.000Z,7
from:sergio_fajardo,2017-05-28T00:00:00.000Z,2017-05-29T00:00:00.000Z,2
from:sergio_fajardo,2017-05-29T00:00:00.000Z,2017-05-30T00:00:00.000Z,4
from:sergio_fajardo,2017-05-30T00:00:00.000Z,2017-05-31T00:00:00.000Z,1
from:sergio_fajardo,2017-05-31T00:00:00.000Z,2017-06-01T00:00:00.000Z,3
from:sergio_fajardo,2017-06-01T00:00:00.000Z,2017-06-02T00:00:00.000Z,5
from:sergio_fajardo,2017-06-02T00:00:00.000Z,2017-06-03T00:00:00.000Z,11
from:IvanCepedaCast,2017-05-20T00:00:00.000Z,2017-05-21T00:00:00.000Z,20
from:IvanCepedaCast,2017-05-21T00:00:00.000Z,2017-05-22T00:00:00.000Z,19
from:IvanCepedaCast,2017-05-22T00:00:00.000Z,2017-05-23T00:00:00.000Z,23
from:IvanCepedaCast,2017-05-23T00:00:00.000Z,2017-05-24T00:00:00.000Z,25
from:IvanCepedaCast,2017-05-24T00:00:00.000Z,2017-05-25T00:00:00.000Z,48
from:IvanCepedaCast,2017-05-25T00:00:00.000Z,2017-05-26T00:00:00.000Z,35
from:IvanCepedaCast,2017-05-26T00:00:00.000Z,2017-05-27T00:00:00.000Z,32
from:IvanCepedaCast,2017-05-27T00:00:00.000Z,2017-05-28T00:00:00.000Z,13
from:IvanCepedaCast,2017-05-28T00:00:00.000Z,2017-05-29T00:00:00.000Z,38
from:IvanCepedaCast,2017-05-29T00:00:00.000Z,2017-05-30T00:00:00.000Z,4
from:IvanCepedaCast,2017-05-30T00:00:00.000Z,2017-05-31T00:00:00.000Z,26
from:IvanCepedaCast,2017-05-31T00:00:00.000Z,2017-06-01T00:00:00.000Z,36
from:IvanCepedaCast,2017-06-01T00:00:00.000Z,2017-06-02T00:00:00.000Z,21
from:IvanCepedaCast,2017-06-02T00:00:00.000Z,2017-06-03T00:00:00.000Z,35
from:JERobledo,2017-05-20T00:00:00.000Z,2017-05-21T00:00:00.000Z,43
from:JERobledo,2017-05-21T00:00:00.000Z,2017-05-22T00:00:00.000Z,25
from:JERobledo,2017-05-22T00:00:00.000Z,2017-05-23T00:00:00.000Z,34
from:JERobledo,2017-05-23T00:00:00.000Z,2017-05-24T00:00:00.000Z,37
from:JERobledo,2017-05-24T00:00:00.000Z,2017-05-25T00:00:00.000Z,28
from:JERobledo,2017-05-25T00:00:00.000Z,2017-05-26T00:00:00.000Z,30
from:JERobledo,2017-05-26T00:00:00.000Z,2017-05-27T00:00:00.000Z,68
from:JERobledo,2017-05-27T00:00:00.000Z,2017-05-28T00:00:00.000Z,15
from:JERobledo,2017-05-28T00:00:00.000Z,2017-05-29T00:00:00.000Z,24
from:JERobledo,2017-05-29T00:00:00.000Z,2017-05-30T00:00:00.000Z,24
from:JERobledo,2017-05-30T00:00:00.000Z,2017-05-31T00:00:00.000Z,22
from:JERobledo,2017-05-31T00:00:00.000Z,2017-06-01T00:00:00.000Z,24
from:JERobledo,2017-06-01T00:00:00.000Z,2017-06-02T00:00:00.000Z,44
from:JERobledo,2017-06-02T00:00:00.000Z,2017-06-03T00:00:00.000Z,37
from:DanielSamperO,2017-05-20T00:00:00.000Z,2017-05-21T00:00:00.000Z,215
from:DanielSamperO,2017-05-21T00:00:00.000Z,2017-05-22T00:00:00.000Z,64
from:DanielSamperO,2017-05-22T00:00:00.000Z,2017-05-23T00:00:00.000Z,16
from:DanielSamperO,2017-05-23T00:00:00.000Z,2017-05-24T00:00:00.000Z,62
from:DanielSamperO,2017-05-24T00:00:00.000Z,2017-05-25T00:00:00.000Z,13
from:DanielSamperO,2017-05-25T00:00:00.000Z,2017-05-26T00:00:00.000Z,19
from:DanielSamperO,2017-05-26T00:00:00.000Z,2017-05-27T00:00:00.000Z,148
from:DanielSamperO,2017-05-27T00:00:00.000Z,2017-05-28T00:00:00.000Z,91
from:DanielSamperO,2017-05-28T00:00:00.000Z,2017-05-29T00:00:00.000Z,88
from:DanielSamperO,2017-05-29T00:00:00.000Z,2017-05-30T00:00:00.000Z,19
from:DanielSamperO,2017-05-30T00:00:00.000Z,2017-05-31T00:00:00.000Z,28
from:DanielSamperO,2017-05-31T00:00:00.000Z,2017-06-01T00:00:00.000Z,17
from:DanielSamperO,2017-06-01T00:00:00.000Z,2017-06-02T00:00:00.000Z,20
from:DanielSamperO,2017-06-02T00:00:00.000Z,2017-06-03T00:00:00.000Z,75
from:OIZuluaga,2017-05-20T00:00:00.000Z,2017-05-21T00:00:00.000Z,4
from:OIZuluaga,2017-05-21T00:00:00.000Z,2017-05-22T00:00:00.000Z,5
from:OIZuluaga,2017-05-22T00:00:00.000Z,2017-05-23T00:00:00.000Z,3
from:OIZuluaga,2017-05-23T00:00:00.000Z,2017-05-24T00:00:00.000Z,2
from:OIZuluaga,2017-05-24T00:00:00.000Z,2017-05-25T00:00:00.000Z,4
from:OIZuluaga,2017-05-25T00:00:00.000Z,2017-05-26T00:00:00.000Z,0
from:OIZuluaga,2017-05-26T00:00:00.000Z,2017-05-27T00:00:00.000Z,1
from:OIZuluaga,2017-05-27T00:00:00.000Z,2017-05-28T00:00:00.000Z,9
from:OIZuluaga,2017-05-28T00:00:00.000Z,2017-05-29T00:00:00.000Z,1
from:OIZuluaga,2017-05-29T00:00:00.000Z,2017-05-30T00:00:00.000Z,4
from:OIZuluaga,2017-05-30T00:00:00.000Z,2017-05-31T00:00:00.000Z,0
from:OIZuluaga,2017-05-31T00:00:00.000Z,2017-06-01T00:00:00.000Z,12
from:OIZuluaga,2017-06-01T00:00:00.000Z,2017-06-02T00:00:00.000Z,1
from:OIZuluaga,2017-06-02T00:00:00.000Z,2017-06-03T00:00:00.000Z,0
from:mluciaramirez,2017-05-20T00:00:00.000Z,2017-05-21T00:00:00.000Z,13
from:mluciaramirez,2017-05-21T00:00:00.000Z,2017-05-22T00:00:00.000Z,19
from:mluciaramirez,2017-05-22T00:00:00.000Z,2017-05-23T00:00:00.000Z,15
from:mluciaramirez,2017-05-23T00:00:00.000Z,2017-05-24T00:00:00.000Z,8
from:mluciaramirez,2017-05-24T00:00:00.000Z,2017-05-25T00:00:00.000Z,18
from:mluciaramirez,2017-05-25T00:00:00.000Z,2017-05-26T00:00:00.000Z,14
from:mluciaramirez,2017-05-26T00:00:00.000Z,2017-05-27T00:00:00.000Z,26
from:mluciaramirez,2017-05-27T00:00:00.000Z,2017-05-28T00:00:00.000Z,21
from:mluciaramirez,2017-05-28T00:00:00.000Z,2017-05-29T00:00:00.000Z,1
from:mluciaramirez,2017-05-29T00:00:00.000Z,2017-05-30T00:00:00.000Z,10
from:mluciaramirez,2017-05-30T00:00:00.000Z,2017-05-31T00:00:00.000Z,2
from:mluciaramirez,2017-05-31T00:00:00.000Z,2017-06-01T00:00:00.000Z,2
from:mluciaramirez,2017-06-01T00:00:00.000Z,2017-06-02T00:00:00.000Z,15
from:mluciaramirez,2017-06-02T00:00:00.000Z,2017-06-03T00:00:00.000Z,13
from:PalomaValenciaL,2017-05-20T00:00:00.000Z,2017-05-21T00:00:00.000Z,19
from:PalomaValenciaL,2017-05-21T00:00:00.000Z,2017-05-22T00:00:00.000Z,0
from:PalomaValenciaL,2017-05-22T00:00:00.000Z,2017-05-23T00:00:00.000Z,17
from:PalomaValenciaL,2017-05-23T00:00:00.000Z,2017-05-24T00:00:00.000Z,4
from:PalomaValenciaL,2017-05-24T00:00:00.000Z,2017-05-25T00:00:00.000Z,2
from:PalomaValenciaL,2017-05-25T00:00:00.000Z,2017-05-26T00:00:00.000Z,0
from:PalomaValenciaL,2017-05-26T00:00:00.000Z,2017-05-27T00:00:00.000Z,4
from:PalomaValenciaL,2017-05-27T00:00:00.000Z,2017-05-28T00:00:00.000Z,3
from:PalomaValenciaL,2017-05-28T00:00:00.000Z,2017-05-29T00:00:00.000Z,0
from:PalomaValenciaL,2017-05-29T00:00:00.000Z,2017-05-30T00:00:00.000Z,0
from:PalomaValenciaL,2017-05-30T00:00:00.000Z,2017-05-31T00:00:00.000Z,8
from:PalomaValenciaL,2017-05-31T00:00:00.000Z,2017-06-01T00:00:00.000Z,3
from:PalomaValenciaL,2017-06-01T00:00:00.000Z,2017-06-02T00:00:00.000Z,8
from:PalomaValenciaL,2017-06-02T00:00:00.000Z,2017-06-03T00:00:00.000Z,7
from:AndresPastrana_,2017-05-20T00:00:00.000Z,2017-05-21T00:00:00.000Z,0
from:AndresPastrana_,2017-05-21T00:00:00.000Z,2017-05-22T00:00:00.000Z,3
from:AndresPastrana_,2017-05-22T00:00:00.000Z,2017-05-23T00:00:00.000Z,0
from:AndresPastrana_,2017-05-23T00:00:00.000Z,2017-05-24T00:00:00.000Z,8
from:AndresPastrana_,2017-05-24T00:00:00.000Z,2017-05-25T00:00:00.000Z,3
from:AndresPastrana_,2017-05-25T00:00:00.000Z,2017-05-26T00:00:00.000Z,4
from:AndresPastrana_,2017-05-26T00:00:00.000Z,2017-05-27T00:00:00.000Z,0
from:AndresPastrana_,2017-05-27T00:00:00.000Z,2017-05-28T00:00:00.000Z,1
from:AndresPastrana_,2017-05-28T00:00:00.000Z,2017-05-29T00:00:00.000Z,12
from:AndresPastrana_,2017-05-29T00:00:00.000Z,2017-05-30T00:00:00.000Z,2
from:AndresPastrana_,2017-05-30T00:00:00.000Z,2017-05-31T00:00:00.000Z,1
from:AndresPastrana_,2017-05-31T00:00:00.000Z,2017-06-01T00:00:00.000Z,1
from:AndresPastrana_,2017-06-01T00:00:00.000Z,2017-06-02T00:00:00.000Z,2
from:AndresPastrana_,2017-06-02T00:00:00.000Z,2017-06-03T00:00:00.000Z,3
from:MariaFdaCabal,2017-05-20T00:00:00.000Z,2017-05-21T00:00:00.000Z,14
from:MariaFdaCabal,2017-05-21T00:00:00.000Z,2017-05-22T00:00:00.000Z,27
from:MariaFdaCabal,2017-05-22T00:00:00.000Z,2017-05-23T00:00:00.000Z,31
from:MariaFdaCabal,2017-05-23T00:00:00.000Z,2017-05-24T00:00:00.000Z,19
from:MariaFdaCabal,2017-05-24T00:00:00.000Z,2017-05-25T00:00:00.000Z,32
from:MariaFdaCabal,2017-05-25T00:00:00.000Z,2017-05-26T00:00:00.000Z,10
from:MariaFdaCabal,2017-05-26T00:00:00.000Z,2017-05-27T00:00:00.000Z,33
from:MariaFdaCabal,2017-05-27T00:00:00.000Z,2017-05-28T00:00:00.000Z,26
from:MariaFdaCabal,2017-05-28T00:00:00.000Z,2017-05-29T00:00:00.000Z,16
from:MariaFdaCabal,2017-05-29T00:00:00.000Z,2017-05-30T00:00:00.000Z,34
from:MariaFdaCabal,2017-05-30T00:00:00.000Z,2017-05-31T00:00:00.000Z,25
from:MariaFdaCabal,2017-05-31T00:00:00.000Z,2017-06-01T00:00:00.000Z,27
from:MariaFdaCabal,2017-06-01T00:00:00.000Z,2017-06-02T00:00:00.000Z,23
from:MariaFdaCabal,2017-06-02T00:00:00.000Z,2017-06-03T00:00:00.000Z,36
from:agaviriau,2017-05-20T00:00:00.000Z,2017-05-21T00:00:00.000Z,11
from:agaviriau,2017-05-21T00:00:00.000Z,2017-05-22T00:00:00.000Z,9
from:agaviriau,2017-05-22T00:00:00.000Z,2017-05-23T00:00:00.000Z,6
from:agaviriau,2017-05-23T00:00:00.000Z,2017-05-24T00:00:00.000Z,9
from:agaviriau,2017-05-24T00:00:00.000Z,2017-05-25T00:00:00.000Z,5
from:agaviriau,2017-05-25T00:00:00.000Z,2017-05-26T00:00:00.000Z,29
from:agaviriau,2017-05-26T00:00:00.000Z,2017-05-27T00:00:00.000Z,17
from:agaviriau,2017-05-27T00:00:00.000Z,2017-05-28T00:00:00.000Z,9
from:agaviriau,2017-05-28T00:00:00.000Z,2017-05-29T00:00:00.000Z,21
from:agaviriau,2017-05-29T00:00:00.000Z,2017-05-30T00:00:00.000Z,11
from:agaviriau,2017-05-30T00:00:00.000Z,2017-05-31T00:00:00.000Z,26
from:agaviriau,2017-05-31T00:00:00.000Z,2017-06-01T00:00:00.000Z,30
from:agaviriau,2017-06-01T00:00:00.000Z,2017-06-02T00:00:00.000Z,10
from:agaviriau,2017-06-02T00:00:00.000Z,2017-06-03T00:00:00.000Z,0
from:DeLaCalleHum,2017-05-20T00:00:00.000Z,2017-05-21T00:00:00.000Z,0
from:DeLaCalleHum,2017-05-21T00:00:00.000Z,2017-05-22T00:00:00.000Z,0
from:DeLaCalleHum,2017-05-22T00:00:00.000Z,2017-05-23T00:00:00.000Z,0
from:DeLaCalleHum,2017-05-23T00:00:00.000Z,2017-05-24T00:00:00.000Z,0
from:DeLaCalleHum,2017-05-24T00:00:00.000Z,2017-05-25T00:00:00.000Z,0
from:DeLaCalleHum,2017-05-25T00:00:00.000Z,2017-05-26T00:00:00.000Z,0
from:DeLaCalleHum,2017-05-26T00:00:00.000Z,2017-05-27T00:00:00.000Z,0
from:DeLaCalleHum,2017-05-27T00:00:00.000Z,2017-05-28T00:00:00.000Z,0
from:DeLaCalleHum,2017-05-28T00:00:00.000Z,2017-05-29T00:00:00.000Z,0
from:DeLaCalleHum,2017-05-29T00:00:00.000Z,2017-05-30T00:00:00.000Z,0
from:DeLaCalleHum,2017-05-30T00:00:00.000Z,2017-05-31T00:00:00.000Z,0
from:DeLaCalleHum,2017-05-31T00:00:00.000Z,2017-06-01T00:00:00.000Z,0
from:DeLaCalleHum,2017-06-01T00:00:00.000Z,2017-06-02T00:00:00.000Z,1
from:DeLaCalleHum,2017-06-02T00:00:00.000Z,2017-06-03T00:00:00.000Z,3
from:QuinteroCalle,2017-05-20T00:00:00.000Z,2017-05-21T00:00:00.000Z,6
from:QuinteroCalle,2017-05-21T00:00:00.000Z,2017-05-22T00:00:00.000Z,7
from:QuinteroCalle,2017-05-22T00:00:00.000Z,2017-05-23T00:00:00.000Z,12
from:QuinteroCalle,2017-05-23T00:00:00.000Z,2017-05-24T00:00:00.000Z,12
from:QuinteroCalle,2017-05-24T00:00:00.000Z,2017-05-25T00:00:00.000Z,26
from:QuinteroCalle,2017-05-25T00:00:00.000Z,2017-05-26T00:00:00.000Z,39
from:QuinteroCalle,2017-05-26T00:00:00.000Z,2017-05-27T00:00:00.000Z,9
from:QuinteroCalle,2017-05-27T00:00:00.000Z,2017-05-28T00:00:00.000Z,6
from:QuinteroCalle,2017-05-28T00:00:00.000Z,2017-05-29T00:00:00.000Z,3
from:QuinteroCalle,2017-05-29T00:00:00.000Z,2017-05-30T00:00:00.000Z,5
from:QuinteroCalle,2017-05-30T00:00:00.000Z,2017-05-31T00:00:00.000Z,9
from:QuinteroCalle,2017-05-31T00:00:00.000Z,2017-06-01T00:00:00.000Z,27
from:QuinteroCalle,2017-06-01T00:00:00.000Z,2017-06-02T00:00:00.000Z,17
from:QuinteroCalle,2017-06-02T00:00:00.000Z,2017-06-03T00:00:00.000Z,17
from:RoyBarreras,2017-05-20T00:00:00.000Z,2017-05-21T00:00:00.000Z,4
from:RoyBarreras,2017-05-21T00:00:00.000Z,2017-05-22T00:00:00.000Z,2
from:RoyBarreras,2017-05-22T00:00:00.000Z,2017-05-23T00:00:00.000Z,3
